NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1996_02_09_a147_seg5_s1;33;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1996_02_09_a149_seg3_s2;34;x;;;;;;;;;;;;;;;;;;;;;duplicate;;
NZZ_1996_02_09_a207_seg7_s2;45;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1996_02_10_a23_seg4_s2;63;;;x;;;;;;;;;;;;;;;anim;mit;;;;instrumental?;
NZZ_1996_02_24_a133_seg3_s11;96;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1996_01_12_a29_seg4_s5;23;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1996_01_18_a137_seg7_s16;25;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1996_01_29_a44_seg2_s5;9;;;;;;;;;;;;;;;x;;;;;;;EXP_anim_proxy;;
NZZ_1996_07_16_a8_seg3_s7;3;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1996_06_21_a107_seg6_s11;3;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1996_06_26_a19_seg2_s12;37;;;x;;;;;;;;;;;;;;;anim;mit;;;EXP_anim_proxy;;
NZZ_1996_05_11_a223_seg9_s28;19;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_05_18_a87_seg5_s9;22;;;;;;;;;;;;;;;x;;;;;;;EXP_anim_proxy;;
NZZ_1996_05_22_a164_seg3_s5;44;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1996_05_23_a43_seg8_s26;8;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1996_05_25_a270_seg3_s1;31;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1996_05_28_a1_seg6_s13;2;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1996_03_13_a47_seg13_s1;8;;;;;;;;;;;;;;;x;;;;;;;EXP_anim_proxy;;
NZZ_1996_03_18_a105_seg3_s11;13;;;;x;;;;;;;;;;;;;;inanim;als;;;;;
NZZ_1996_03_23_a197_seg7_s7;31;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1996_03_28_a196_seg6_s6;10;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1996_11_16_a16_seg2_s7;9;;;;;;;;;;;;;;;x;;;;;;;EXP_anim_proxy;;
NZZ_1996_11_22_a199_seg2_s6;3;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1996_10_31_a188_seg3_s12;2;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1996_10_09_a23_seg4_s5;37;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1996_10_17_a75_seg2_s4;3;;;;;;;;;;;;;;;x;;;;;;;EXP_anim_proxy;;
NZZ_1997_04_26_a96_seg3_s1;7;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_08_05_a70_seg3_s5;26;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_08_12_a110_seg3_s2;26;;;x;;;;;;;;;;;;;;;anim;mit;;;;;
NZZ_1997_08_14_a189_seg3_s3;12;;;x;;;;;;;;;;;;;;;inanim;;;;EXP-related_object;;
NZZ_1997_08_19_a163_seg30_s5;5;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_08_25_a100_seg10_s3;4;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_12_02_a202_seg4_s3;18;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_12_12_a68_seg3_s1;9;;;;;;;;;;;;;;;x;;;;;;;EXP_anim_proxy;;
NZZ_1997_12_17_a201_seg2_s1;14;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1997_12_27_a141_seg13_s6;5;;;x;;;;;;;;;;;;;;;inanim;;;;EXP-related_object;;
NZZ_1997_12_29_a28_seg8_s6;17;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_02_20_a164_seg3_s13;18;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_01_16_a80_seg2_s6;6;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1997_01_18_a49_seg18_s7;4;;;;;;;;;;;;;;;x;;;;;;;;;
