NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1997_03_06_a135_seg8_s16;15;;;x;;;;;;;;;;;;;;;propositional;;;;;;wollen
NZZ_1997_03_24_a27_seg3_s26;14;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1997_11_10_a84_seg5_s8;6;;;x;;;;;;;;;;;;;;;inanim;;;;PCN-C;;Publikum
NZZ_1997_11_15_a163_seg7_s1;29;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1997_11_15_a204_seg11_s10;4;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1997_10_11_a31_seg3_s5;8;;;;x;;;;;;;;;;;;;;inanim;;;;PA+A;;
NZZ_1997_10_13_a7_seg6_s10;13;;;x;;;;;;;;;;;;;;;inanim;;;;EXP_anim_proxy;;
NZZ_1997_10_14_a202_seg5_s8;33;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1997_10_24_a205_seg6_s11;29;;;x;;;;;;;;;;;;;;;inanim;;;;PCN-C;;
NZZ_1997_09_02_a25_seg12_s10;10;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1997_09_02_a165_seg2_s15;2;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1997_09_04_a225_seg8_s1;2;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1997_09_06_a227_seg5_s7;13;;;x;;;;;;;;;;;;;;;inanim;;;;;NZZ;
NZZ_1997_09_06_a237_seg11_s7;17;;;;x;;;;;;;;;;;;;;propositional;;;;;;wollen
NZZ_1997_09_10_a115_seg3_s1;35;;;;x;;;;;;;;;;;;;;inanim;;;;PCN-C;;
NZZ_1997_09_11_a176_seg5_s8;13;;;;x;;;;;;;;;;;;;;inanim;;;;PA+A;;
NZZ_1997_09_15_a87_seg3_s21;31;;;x;;;;;;;;;;;;;;;inanim;;;;;NZZ;
NZZ_1997_09_19_a112_seg3_s26;10;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1997_09_23_a24_seg1_s13;13;;;x;;;;;;;;;;;;;;;inanim;;;;PCN-C, EXP_coordination, EXP_anim_proxy;;
NZZ_1997_09_29_a123_seg9_s37;21;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1998_04_04_a166_seg3_s21;2;;;;x;;;;;;;;;;;;;;propositional;;;;STM_coordination;;
NZZ_1998_04_15_a77_seg8_s3;26;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1998_08_21_a225_seg20_s4;12;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1998_08_27_a18_seg6_s5;52;;;;x;;;;;;;;;;;;;;propositional;;;;;;wollen
NZZ_1998_12_01_a3_seg8_s2;18;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1998_12_12_a214_seg7_s7;23;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1998_12_15_a22_seg8_s3;2;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;Generation
NZZ_1998_02_06_a3_seg8_s9;8;;;;x;;;;;;;;;;;;;;inanim;;;;PCN-C;;
NZZ_1998_02_21_a50_seg12_s6;21;;;x;;;;;;;;;;;;;;;propositional;;;;;;wollen
NZZ_1998_07_10_a117_seg3_s10;22;;;x;;;;;;;;;;;;;;;propositional;;;;;;
