NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1995_12_09_a196_seg10_s8;16;;;x;;;;;;;;;;;;;;;anim;mit;;;;;
NZZ_1995_12_16_a141_seg2_s3;35;;;x;;;;;;;;;;;;;;;inanim;;;;ambiguous, EXP_anim_proxy;PP-Attachment;
NZZ_1995_12_29_a138_seg7_s8;2;;;x;;;;;;;;;;;;;;;anim;mit;;;;instrumental?;
NZZ_1996_01_08_a82_seg3_s27;16;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_01_25_a187_seg6_s8;3;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_03_07_a73_seg6_s9;10;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_03_22_a117_seg3_s1;13;;;;;x;;;;;;;;;;;;;;über;;;;;
NZZ_1996_03_26_a192_seg4_s19;56;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_04_12_a118_seg3_s15;19;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1996_05_15_a233_seg3_s7;9;;;x;;;;;;;;;;;;;;;inanim;;;;EXP_coordination;;Familie
NZZ_1996_07_11_a119_seg3_s18;2;;;x;;;;;;;;;;;;;;;anim;;;;EXP-related_object;anim?;
NZZ_1996_07_15_a114_seg3_s2;6;;;;;;;;;;x;;;;;;;;;;;;fragment;;
NZZ_1996_08_09_a121_seg3_s35;14;;;;;;;;;;x;;;;;;;;;;;;;;
NZZ_1996_08_17_a202_seg5_s35;4;;;x;;;;;;;;;;;;;;;inanim;;;;;;Kundschaft
NZZ_1996_09_20_a21_seg6_s4;20;;;;;x;;;;;;;;;;;;;;;;;;;
NZZ_1996_10_01_a227_seg10_s8;34;;;x;;;;;;;;;;;;;;;inanim;;;;STM_coordination;;generic EXP
NZZ_1996_10_04_a164_seg5_s6;7;;;;;;;;;;x;;;;;;;;;von;;;;;inanim von-PP
NZZ_1996_10_08_a132_seg4_s3;26;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_10_26_a154_seg15_s3;17;x;;;;;;;;;;;;;;;;;;;;;duplicate;;
NZZ_1996_10_26_a18_seg1_s6;27;;;;;x;;;;;;;;;;;;;;über;;;;;
NZZ_1996_10_26_a223_seg4_s36;7;;;;x;;;;;;;;;;;;;;inanim;;;;idiomatic;;
NZZ_1996_10_30_a44_seg8_s20;6;;;;;;;;;;x;;;;;;;;;von;;;;;inanim von-PP
NZZ_1996_11_14_a151_seg3_s4;18;;;;;;;;;x;;;;;;;;;;über;;;;;
NZZ_1996_11_25_a18_seg10_s2;20;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_11_27_a172_seg4_s7;49;;;x;;;;;;;;;;;;;;;inanim;;;;PA+A;;
NZZ_1997_01_18_a209_seg4_s3;3;;;;;x;;;;;;;;;;;;;;;;;;;
NZZ_1997_01_18_a211_seg3_s13;15;;;;;;;;;;x;;;;;;;;;;;;;;
NZZ_1997_02_15_a205_seg2_s7;5;;;x;;;;;;;;;;;;;;;ambiguous;;;;EXP_coordination, EXP_anim_proxy, ambiguous;;
NZZ_1997_02_15_a230_seg4_s20;9;;;x;;;;;;;;;;;;;;;ambiguous;;;;;inanim? (Tanz?);
