NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1998_05_22_a250_seg8_s25;9;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1998_06_23_a213_seg2_s13;7;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1998_06_25_a155_seg7_s3;20;x;;;;;;;;;;;;;;;;;;;;;duplicate;;
NZZ_1998_07_09_a191_seg3_s20;2;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1998_07_29_a156_seg3_s4;14;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1998_08_05_a60_seg5_s11;6;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1998_08_14_a147_seg8_s8;4;;;;x;;;;;;;;;;;;;;anim;mit;;;;instrumental;"Swiss term for the European perch (""Flussbarsch"" in German German)"
NZZ_1998_08_15_a217_seg7_s19;13;x;;;;;;;;;;;;;;;;;;;;;false hit;;
NZZ_1998_09_02_a207_seg5_s7;16;;;;;x;;;;;;;;;;;;;;wegen;;;;;
NZZ_1998_09_08_a225_seg3_s3;3;;;x;;;;;;;;;;;;;;;anim;mit;;;EXP_anim_proxy;instrumental;Garde
NZZ_1998_09_16_a195_seg3_s16;7;;;;;;;;x;;;;;;;;;;;über;;;variation;;
NZZ_1998_09_22_a159_seg3_s23;2;x;;;;;;;;;;;;;;;;;;;;;duplicate;;
NZZ_1998_09_25_a57_seg9_s5;3;;;;;;;;x;;;;;;;;;;;;;;variation;;
NZZ_1998_09_28_a105_seg3_s33;4;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1998_10_22_a144_seg4_s29;17;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1998_11_04_a128_seg3_s7;41;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1998_11_17_a178_seg4_s19;14;;;;;;;;;;x;;;;;;;;;von;;;;;
NZZ_1998_12_22_a154_seg25_s2;8;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1999_01_28_a242_seg4_s11;9;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1999_02_17_a175_seg3_s11;23;;;;;;;;x;;;;;;;;;;;;;;variation, ambiguous;transitive refl possible;
NZZ_1999_03_09_a225_seg13_s9;14;;;x;;;;;;;;;;;;;;;inanim;mit;;;;instrumental?;
NZZ_1999_03_09_a225_seg21_s15;14;;;;x;;;;;;;;;;;;;;inanim;;;;STM_coordination;;
NZZ_1999_04_08_a217_seg7_s27;5;;;x;;;;;;;;;;;;;;;propositional;;;;;;es + wenn
NZZ_1999_04_27_a157_seg25_s3;26;x;;;;;;;;;;;;;;;;;;;;;duplicate;;
NZZ_1999_05_07_a157_seg6_s1;66;;;x;;;;;;;;;;;;;;;anim;durch;;;EXP_anim_proxy, EXP_coordination;instrumental;
NZZ_1999_05_15_a143_seg9_s5;16;;;;x;;;;;;;;;;;;;;inanim;;;;;NZZ;
NZZ_1999_06_11_a229_seg10_s10;3;;;;x;;;;;;;;;;;;;;inanim;durch;;;;;
NZZ_1999_06_15_a214_seg2_s10;17;;;x;;;;;;;;;;;;;;;inanim;;;;;NZZ;
NZZ_1999_07_03_a162_seg2_s7;6;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1999_07_06_a150_seg10_s18;21;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1999_07_06_a206_seg3_s1;19;;;x;;;;;;;;;;;;;;;inanim;;;;;NZZ;
NZZ_1999_07_19_a136_seg3_s5;15;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1999_07_24_a153_seg11_s3;4;;;x;;;;;;;;;;;;;;;anim;;;;STM_coordination;;
NZZ_1999_07_26_a141_seg10_s6;33;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1999_08_12_a165_seg3_s19;8;;;;x;;;;;;;;;;;;;;anim;;;;;?, NZZ;
NZZ_1999_08_28_a22_seg37_s5;8;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1999_09_07_a178_seg3_s7;3;;;;x;;;;;;;;;;;;;;ambiguous;an;;;;;
NZZ_1999_09_14_a143_seg9_s3;8;;;;;;x;;;;;;;;;;;;;von;;;;;
NZZ_1999_09_23_a217_seg4_s14;3;;;x;;;;;;;;;;;;;;;anim;als, mit;;;;instrumental;
NZZ_1999_11_19_a160_seg5_s21;23;;;x;;;;;;;;;;;;;;;propositional;;;;;NZZ;
NZZ_1999_11_25_a173_seg7_s4;5;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1999_11_29_a209_seg2_s4;20;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1999_12_04_a208_seg4_s21;27;;;x;;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
